Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -159.02295725        -135.85416038
     100          64.75762035          20.65422771        -156.70872101        -136.05449329
     200          60.66629120          19.34931188        -155.23581526        -135.88650337
     300          57.17662177          18.23629342        -154.08686116        -135.85056774
     400          59.57263460          19.00049375        -154.28493875        -135.28444500
     500          60.42297585          19.27170726        -154.06556480        -134.79385754
     600          61.12119978          19.49440346        -153.71368011        -134.21927664
     700          59.22799072          18.89057073        -152.65952361        -133.76895289
     800          62.47325932          19.92563836        -153.32797814        -133.40233978
     900          60.50940523          19.29927363        -152.47673962        -133.17746599
    1000          62.42064283          19.90885650        -152.93934972        -133.03049322
    1100          62.05400338          19.79191807        -152.40694001        -132.61502194
    1200          60.82140707          19.39878557        -151.90831034        -132.50952477
    1300          60.72470296          19.36794212        -151.71810112        -132.35015900
    1400          64.51076348          20.57549353        -152.37958691        -131.80409338
    1500          66.95083688          21.35374683        -153.42132740        -132.06758057
    1600          62.17037141          19.82903327        -151.58037068        -131.75133742
    1700          65.02125714          20.73831379        -152.24190159        -131.50358780
    1800          66.13616565          21.09391016        -152.35974298        -131.26583283
    1900          61.47356002          19.60678759        -150.67389255        -131.06710496
    2000          66.72762165          21.28255308        -151.95307714        -130.67052406
    2100          65.99304911          21.04826361        -151.42598045        -130.37771684
    2200          65.44965358          20.87494941        -150.92002081        -130.04507140
    2300          64.39032233          20.53707923        -150.41200422        -129.87492498
    2400          71.06126437          22.66475402        -152.49229214        -129.82753812
    2500          65.68312215          20.94941344        -150.77869948        -129.82928604
    2600          70.93786450          22.62539604        -151.92477179        -129.29937575
    2700          72.17039422          23.01850730        -152.57615072        -129.55764342
    2800          66.21065683          21.11766887        -150.42561151        -129.30794264
    2900          73.00746090          23.28548693        -152.45318712        -129.16770019
    3000          66.45378291          21.19521312        -150.25322002        -129.05800690
    3100          73.32113519          23.38553230        -152.27060028        -128.88506798
    3200          68.79586207          21.94221148        -151.15310972        -129.21089824
    3300          74.64208956          23.80684631        -153.33736599        -129.53051969
    3400          69.70929773          22.23354875        -151.79517580        -129.56162705
    3500          65.40506656          20.86072853        -150.46247907        -129.60175054
    3600          67.61490839          21.56555023        -151.13729999        -129.57174975
    3700          67.73265523          21.60310520        -151.20889387        -129.60578867
    3800          71.91625868          22.93745161        -152.90896712        -129.97151551
    3900          59.66488409          19.02991642        -149.08785437        -130.05793796
    4000          69.71145558          22.23423699        -152.30771343        -130.07347644
    4100          67.05916149          21.38829661        -151.12724702        -129.73895042
    4200          63.80852006          20.35151533        -150.22546972        -129.87395439
    4300          70.64122218          22.53078296        -152.90647529        -130.37569233
    4400          60.77812717          19.38498160        -149.51010713        -130.12512553
    4500          62.56274518          19.95417958        -150.75730638        -130.80312681
    4600          69.51719694          22.17227884        -153.31866190        -131.14638305
    4700          65.42250980          20.86629199        -152.14962229        -131.28333030
    4800          57.34847898          18.29110671        -149.79635741        -131.50525070
    4900          64.48590254          20.56756422        -151.80780941        -131.24024518
    5000          66.15054141          21.09849526        -152.31053240        -131.21203714
    5100          64.61193033          20.60776037        -152.32142619        -131.71366583
    5200          63.75340682          20.33393715        -152.19641205        -131.86247490
    5300          66.18258972          21.10871696        -153.09135729        -131.98264034
    5400          58.75367545          18.73928945        -150.86599049        -132.12670104
    5500          59.76193709          19.06087115        -151.33584895        -132.27497781
    5600          57.01076993          18.18339553        -150.43249702        -132.24910149
    5700          64.26017603          20.49556950        -152.44570035        -131.95013085
    5800          66.29965774          21.14605541        -153.06681964        -131.92076422
    5900          64.28899743          20.50476199        -152.53418290        -132.02942091
    6000          62.85493234          20.04737170        -152.12708201        -132.07971031
    6100          57.88321934          18.46166037        -150.60196528        -132.14030491
    6200          60.27506934          19.22453297        -151.12202024        -131.89748727
    6300          56.24303673          17.93852958        -149.95238779        -132.01385822
    6400          61.01696417          19.46115786        -151.24104874        -131.77989088
    6500          68.26619643          21.77327639        -153.43535835        -131.66208196
    6600          68.77844692          21.93665698        -153.06320943        -131.12655245
    6700          67.16516297          21.42210543        -152.46826709        -131.04616166
    6800          67.10733220          21.40366050        -152.34847646        -130.94481596
    6900          69.74646738          22.24540389        -153.10087649        -130.85547260
    7000          64.47485809          20.56404163        -151.26601689        -130.70197526
    7100          70.19599700          22.38877986        -153.00062765        -130.61184779
    7200          67.87931203          21.64988090        -152.10683455        -130.45695365
    7300          65.78862938          20.98306462        -151.50172446        -130.51865984
    7400          62.97124794          20.08447017        -150.78033723        -130.69586706
    7500          68.24259702          21.76574944        -152.78429866        -131.01854922
    7600          63.27876950          20.18255315        -150.89616594        -130.71361279
    7700          71.19345229          22.70691492        -153.70680109        -130.99988617
    7800          57.94083495          18.48003667        -150.04602630        -131.56598962
    7900          63.65006093          20.30097532        -152.07068427        -131.76970895
    8000          66.00779316          21.05296618        -152.62222129        -131.56925511
    8100          59.07453981          18.84162807        -150.53725494        -131.69562687
    8200          67.23641853          21.44483215        -152.81817359        -131.37334144
    8300          61.79420842          19.70905733        -150.76926454        -131.06020721
    8400          71.36024914          22.76011422        -153.46577810        -130.70566388
    8500          69.44349592          22.14877215        -152.77107897        -130.62230682
    8600          65.79678921          20.98566717        -151.54229928        -130.55663211
    8700          69.26333084          22.09130910        -152.64854124        -130.55723214
    8800          66.00569210          21.05229605        -151.87979155        -130.82749550
    8900          64.89831055          20.69910039        -151.52861644        -130.82951606
    9000          65.07764674          20.75629907        -151.78929147        -131.03299240
    9100          64.21003495          20.47957717        -151.24899184        -130.76941467
    9200          62.48621533          19.92977064        -150.92243838        -130.99266774
    9300          58.04970550          18.51476057        -149.57487405        -131.06011347
    9400          66.32877512          21.15534230        -152.38320151        -131.22785920
    9500          64.16295298          20.46456053        -151.66824674        -131.20368621
    9600          62.85530799          20.04749151        -151.11336339        -131.06587188
    9700          63.66816820          20.30675057        -151.30614456        -130.99939399
    9800          65.17374502          20.78694929        -151.67750865        -130.89055936
    9900          60.06552697          19.15770013        -150.23478282        -131.07708269
   10000          59.52808904          18.98628609        -150.32756117        -131.34127508
Simulation Done.
